"CEIN","RIRO","ARPA","CECO","CEPR","SYMO","CEVE"
0,0.110658640226629,0,0,0,0,0
0,0,0,0,0,0.707728399433428,0
0,0.99592776203966,0,0,0,0.216890934844193,0
0,0.00535587818696884,0.0235924220963173,27.5567900141643,0,0,0
0.780099150141643,0.0328877478753541,0.0335074362606232,0.00867563739376771,0.0231055240793201,0,0
0.0466094192634561,0,0,0,0,0.573167492917847,0
21.0591359773371,0.105125708215297,0.0708215297450425,0,0,0,0
4.67258321529745,0,0,0,0,0,0
0.214367917847025,0,0,0,0,0,0
10.6930329320113,0,0,0,0,0,0
1.45848087818697,0,0,0,0,0,0
14.938473796034,0,0,0,0,0,0
104.993537535411,0,0,0,0,0,0
19.955072592068,0,2.21135800283286,0,0,0,0
94.8034702549575,0,0.867563739376771,0,5.65465651558074,0,0
101.739553824363,0,0,0,0,0,0
59.5852514164306,0,0,0,0,0,0
50.3573831444759,0,0,0,0,0,0
0,0,0,0,1.77053824362606,0,0
13.2923158640227,0,0,0,0,0,0
0,0,0,0,0,0.0885269121813031,0
6.82210516997167,0.806701487252125,0,0,0,0,0
12.3406515580737,5.80032754957507,0,1.0800283286119,0,0,0
0,0,0.0780807365439093,0,20.4674220963173,0,0
0,0,0,0,0,0.0276646600566572,0
37.6834277620397,0.388367563739377,0,0,0.0099592776203966,1.48946529745042,0
0,0,0.049796388101983,0.0562145892351275,0.0685640934844193,0,0
0,0,0,0.0290810906515581,0,0,0
36.0181480169972,0.248981940509915,0.032268059490085,0,3.23123229461756,0,1.95201841359773
0,0,0.873495042492918,2.56174752124646,0,0.117298158640227,0
0,7.20387747875354,25.8938562322946,97.733888101983,0,0,0
0,0.0188119688385269,0.187013101983003,18.804222733711,0,0,0
42.9056745750708,0.39947769121813,0,0,0.133896954674221,0,0
63.6785145184136,0.589810552407932,0,0,0,0,0
0,6.70299220963173,2.79802584985836,5.35857825779037,0.15288597733711,0.0453257790368272,0
0,0.319803470254958,1.14823831444759,24.8008144475921,0,0,0
77.3946529745043,0,0,0,0.358533994334278,0,0
51.3001504957507,0.442634560906516,6.0596671388102,0,0,0,0
0,6.27717776203966,0,0,0,0,0
62.9348884560907,0,0,0,0,0,0
0,0.133896954674221,44.4759206798867,9.36614730878187,0,0,0
0,0,15.0772397308782,19.8787181303116,0,0,0
9.42050283286119,0,0,0,0,0,0
9.51540368271955,0.0648459631728045,0,0,0,0,0
46.9479904390935,0.386198654390935,19.3647751416431,0,0,0,0
0,0,0.0113314447592068,18.783197592068,0,0,0
0,0,0,16.4361278328612,0.563252478753541,0,0
38.4646777620397,3.09401558073654,1.16784702549575,0,0.216890934844193,0,0.637393767705382
19.1184932719547,3.48760623229462,0,0,0,0,0
48.0100920679887,0,0,0,0,0,0
21.8246724504249,0.60056657223796,0.0276646600566572,0,0,14.0337287535411,0
22.3718572946176,0,0,0,0.28328611898017,0,0
0,0,0,18.9845963172805,0,0,0
72.7048955382436,0,0,0,0,0,0
33.456533286119,1.12097202549575,0,0,0.216890934844193,0,0
0,0,0.319803470254958,50.9941129603399,0,0,0
0,0,0,116.975035410765,0,0,0
13.0044706090652,0,0,0,0,0,0
0,1.89558250708215,0,5.42337995750708,0,0,0
0,0,2.14235127478754,44.0266466005666,0,0,0
0,9.47038774787535,1.59791076487252,20.4674220963173,0,0,0
0,1.58573831444759,4.25371813031161,0,0,0,89.8061260623229
82.8501239376771,0,0,0,0,0,0
28.7800991501416,0,4.11760800283286,0,0,0,0
31.6970166430595,0,0,0,0,0,0
85.2956798866855,0.319803470254958,14.8902266288952,0,0,0,0
10.2381373937677,2.48096671388102,0,13.0189890226629,0,0,1.73734065155807
57.4617563739377,0.196574008498584,0.639606940509915,0,0,0,0
0,0,32.9309047450425,47.8908463172805,0,0,0
29.7218041784703,3.21281869688385,0.442634560906516,0,0,0,0
0.620794971671388,0,0,19.2310995042493,0.790722379603399,0,0
0,2.24083746458924,0,21.937013101983,0,0,0
29.9859684844193,0,0.0099592776203966,0,0.358533994334278,0,0
55.4184224504249,0.149654745042493,2.87508852691218,0,0,0,0
88.996104815864,0.187013101983003,0,0,0,0,0
73.0003983711048,0,0,0,0,0,0
0,0,0,32.9268608356941,0.433826133144476,0,0
0,0,0,23.7525230169972,0,0,0
0,0,0,45.5037623937677,0,0,0
1.27921388101983,0.358533994334278,0,0,0,0,3.31090651558074
9.08507436260623,0,0.00867563739376771,21.4891111898017,0,0,0
0.0896334985835694,0,18.9347999291785,66.3177230878187,0,0,0
