"","Plot","storrie_rdnbr","chips_rdnbr","abun"
"1","1.1.1",198,207,"AMUT"
"2","1.1.2",0,0,NA
"3","1.1.3",0,0,NA
"4","1.1.4",0,0,"CECO"
"5","1.2.1",59,56,NA
"6","1.2.2",130,36,"CEIN"
"7","1.2.3",190,50,NA
"8","1.2.4",685,437,"SYMO"
"9","1.2.5",168,332,"CEIN"
"10","1.2.6",109,92,"SYMO"
"11","1.3.1",110,250,"CEIN"
"12","1.3.2",68,577,"CEIN"
"13","1.3.3",207,137,NA
"14","1.3.4",-103,600,"CEIN"
"15","1.3.5",-2,509,"CEIN"
"16","1.3.6",21,581,NA
"17","1.4.1",-84,954,"CEIN"
"18","1.4.2",49,789,"CEIN"
"19","1.4.3",23,1055,"CEIN"
"20","1.4.4",2,869,"CEIN"
"21","1.4.5",40,1014,"CEIN"
"22","1.4.6",-106,875,"CEIN"
"23","2.1.1",399,77,NA
"24","2.1.2",130,433,"CEIN"
"25","2.1.3",333,65,"CEIN"
"26","2.1.4",164,200,NA
"27","2.1.5",152,39,NA
"28","2.1.6",285,121,"CECO"
"29","2.2.1",50,101,NA
"30","2.2.2",37,121,NA
"31","2.2.3",227,36,NA
"32","2.2.4",130,272,"SYMO"
"33","2.2.5",335,175,"CEIN"
"34","2.2.6",148,108,NA
"35","2.3.1",286,339,"CECO"
"36","2.3.2",392,167,NA
"37","2.3.3",261,119,"CEIN"
"38","2.3.4",413,187,"CEPR"
"39","2.3.5",555,301,"CHSE"
"40","2.3.6",513,614,"CECO"
"41","2.4.1",572,672,"CECO"
"42","2.4.2",481,719,"CEPR"
"43","2.4.3",354,725,"CEIN"
"44","2.4.4",597,614,NA
"45","2.4.5",229,680,"CECO"
"46","2.4.6",338,751,"CEIN"
"47","3.1.1",250,53,"CEIN"
"48","3.1.2",709,88,"CEIN"
"49","3.1.3",493,-96,"RIRO"
"50","3.1.4",728,0,"CEIN"
"51","3.1.5",383,97,NA
"52","3.1.6",565,50,"CECO"
"53","3.2.1",434,182,"CEIN"
"54","3.2.2",144,389,"CEIN"
"55","3.2.3",144,389,"CEIN"
"56","3.2.4",404,179,"CEIN"
"57","3.2.5",538,867,"CECO"
"58","3.2.6",547,561,"CECO"
"59","3.3.2",576,452,"CEIN"
"60","3.3.4",628,400,"CEIN"
"61","3.3.5",783,654,"CEIN"
"62","3.3.6",828,556,"CEIN"
"63","3.4.1",591,764,"CECO"
"64","3.4.2",691,673,"CEIN"
"65","3.4.3",312,630,"CEIN"
"66","3.4.4",861,819,"CECO"
"67","3.4.5",685,694,"CECO"
"68","3.4.6",1000,670,"CEIN"
"69","4.1.1",1220,-140,NA
"70","4.1.2",731,20,"CECO"
"71","4.1.3",698,-43,"CECO"
"72","4.1.4",1016,-453,"CEVE"
"73","4.1.5",737,0,"CEIN"
"74","4.1.6",883,0,NA
"75","4.2.1",802,501,"CEIN"
"76","4.2.2",881,-162,"CEVE"
"77","4.2.3",716,475,"CECO"
"78","4.2.4",823,590,"CEIN"
"79","4.2.5",1064,676,"ARPA"
"80","4.2.6",793,472,"CEIN"
"81","4.3.1",1001,605,"CECO"
"82","4.3.2",485,819,"CECO"
"83","4.3.3",747,640,"CEIN"
"84","4.3.4",707,442,"CEIN"
"85","4.3.5",1048,810,"CEIN"
"86","4.3.6",897,706,"CEIN"
"87","4.4.1",1037,891,"CECO"
"88","4.4.2",1097,810,"CECO"
"89","4.4.3",892,726,"CECO"
"90","4.4.4",756,662,"CEVE"
"91","4.4.5",757,819,"CECO"
"92","4.4.6",870,597,"CECO"
