"","Plot","aspect","slope","elev","Z"
"1","01-01.1",253.798996,26.194099,1313.640015,1307.268555
"2","01-01.2",0,0,0,0
"3","01-01.3",115.996002,6.60515,800.525024,1606.717041
"4","01-01.4",116.237,7.54345,784.070007,0
"5","01-02.1",199.343994,31.7442,1300.969971,0
"6","01-02.2",200.757996,26.5354,1328.219971,0
"7","01-02.3",147.022003,6.82382,1375.810059,0
"8","01-02.4",129.136002,6.14552,1341.089966,0
"9","01-02.5",104.517998,12.0199,687.044983,0
"10","01-02.6",0,0,0,0
"11","01-03.1",191.274994,22.033199,1380.910034,0
"12","01-03.2",0,0,0,0
"13","01-03.3",165.626007,23.282101,1412.619995,0
"14","01-03.4",0,0,0,0
"15","01-03.5",0,0,0,0
"16","01-03.6",0,0,0,0
"17","01-04.1",0,0,0,0
"18","01-04.2",0,0,0,0
"19","01-04.3",0,0,0,0
"20","01-04.4",0,0,0,0
"21","01-04.5",0,0,0,0
"22","01-04.6",0,0,0,0
"23","02-01.1",77.5056,18.0674,1432.839966,1432.959961
"24","02-01.2",197.014008,24.9408,1538.689941,0
"25","02-01.3",115.969002,30.9419,1386.439941,0
"26","02-01.4",71.271301,8.39466,1414.280029,0
"27","02-01.5",98.672798,31.9086,1415.280029,0
"28","02-01.6",33.000801,20.426701,1452.640015,0
"29","02-02.1",118.532997,9.73137,1361.910034,1360.861572
"30","02-02.2",130.218994,8.17089,1350.109985,1351.248535
"31","02-02.3",140.945007,4.68484,1685.660034,0
"32","02-02.4",53.2598,8.28612,1359.160034,0
"33","02-02.5",24.8706,17.4977,1462.930054,0
"34","02-02.6",211.501007,12.2152,1467.060059,0
"35","02-03.1",144.505005,7.47915,1412.729981,1411.570801
"36","02-03.2",99.398102,21.491699,1391.660034,0
"37","02-03.3",181.132004,25.3766,1602.930054,0
"38","02-03.4",34.981201,8.31059,1411.030029,0
"39","02-03.5",343.858002,4.7426,1357.430054,0
"40","02-03.6",141.141007,9.46128,1321.780029,0
"41","02-04.1",62.001801,9.98519,1335.140015,1340.193604
"42","02-04.2",237.102005,16.389799,1450.469971,0
"43","02-04.4",81.6539,13.0574,1313.300049,0
"44","02-04.5",44.2374,11.0068,1369.589966,0
"45","02-04.6",233.289993,21.570601,1481,0
"46","03-01.1",26.967199,10.8004,1406.930054,0
"47","03-01.2",207.731995,24.1015,1614.550049,1614.166992
"48","03-01.3",217.901993,22.139401,1624.839966,0
"49","03-01.4",95.199997,10.4011,344.809998,0
"50","03-01.5",237.020996,7.95138,1443.310059,0
"51","03-01.6",267.622986,12.696,1423.900024,0
"52","03-02.1",230.914002,13.4193,1473.709961,0
"53","03-02.2",241.936005,16.778799,1458.939941,0
"54","03-02.3",216.585998,24.516399,1276.01001,0
"55","03-02.4",162.048996,13.1359,1399.050049,0
"56","03-02.5",239.585007,10.5619,1440.050049,0
"57","03-02.6",125.167999,11.9916,1386.560059,0
"58","03-03.2",119.047997,10.4211,1427.810059,0
"59","03-03.3",92.139504,11.6257,1482.349976,0
"60","03-03.4",203.897995,28.1814,1306.130005,0
"61","03-03.5",62.300301,17.8524,1301.51001,0
"62","03-03.6",103.857002,12.0359,1392.530029,0
"63","03-04.1",151.856995,13.9764,1669.199951,0
"64","03-04.2",155.141007,19.144199,1645.530029,0
"65","03-04.3",42.003101,12.1614,1504.449951,0
"66","03-04.4",249.225006,13.986301,1430.880005,1432.479492
"67","03-04.5",260.533997,13.9576,1407.680054,0
"68","03-04.6",122.681999,15.9401,1472.890015,0
"69","04-01.1",326.567993,5.11915,1440.430054,0
"70","04-01.2",24.2738,4.70025,1447.25,1440.890869
"71","04-01.3",20.9221,15.5358,1448.229981,0
"72","04-01.4",76.989098,13.1138,1644.160034,0
"73","04-01.5",107.264,11.11,368.054993,0
"74","04-01.6",105.579002,8.7177,378.369995,0
"75","04-02.1",216.656998,24.637501,1254.290039,0
"76","04-02.2",161.576004,13.3055,1638.329956,0
"77","04-02.3",107.601997,18.6479,1639.640015,0
"78","04-02.4",226.531006,22.2607,1267.959961,0
"79","04-02.5",155.716003,5.34124,1325.170044,0
"80","04-02.6",116.310997,17.3608,1435.589966,0
"81","04-03.1",208.576004,9.06406,1434.719971,0
"82","04-03.2",261.38501,13.8611,1419.5,0
"83","04-03.3",241.393997,17.450399,1277.560059,0
"84","04-03.4",215.132004,24.110701,1278.76001,0
"85","04-03.5",188.054993,14.7241,1412.939941,0
"86","04-03.6",172.319,21.7775,1455.630005,0
"87","04-04.1",257.112,10.7477,1428.839966,0
"88","04-04.2",261.278992,14.1635,1452.209961,0
"89","04-04.3",90.325104,2.68839,1402.23999,0
"90","04-04.4",66.713699,26.822399,1611.709961,0
"91","04-04.5",15.9702,14.4517,1303.969971,0
"92","04-04.6",122.579002,11.3827,1291.589966,0
